linkID,taxiID,startTravelTime,travelTime
14,MMC8000GPSANDASYN051113-40165-00000000,2013-01-15 07:52:12,161.0
14,MMC8000GPSANDASYN051113-37909-00000000,2013-01-15 11:22:11,110.0
14,MMC8000GPSANDASYN051113-39639-00000000,2013-01-15 10:29:07,50.0
14,MMC8000GPSANDASYN051113-37745-00000000,2013-01-15 06:56:27,69.0
14,MMC8000GPSANDASYN051113-38092-00000000,2013-01-15 16:49:17,145.0
14,MMC8000GPSANDASYN051113-19226-00000000,2013-01-15 13:00:28,55.0
14,MMC8000GPSANDASYN051113-19752-00000000,2013-01-15 15:11:53,71.0
14,MMC8000GPSANDASYN051113-39635-00000000,2013-01-15 17:34:09,163.0
14,MMC8000GPSANDASYN051113-37702-00000000,2013-01-15 14:10:17,71.0
14,MMC8000GPSANDASYN051113-37659-00000000,2013-01-15 13:11:01,77.0
14,MMC8000GPSANDASYN051113-38073-00000000,2013-01-15 12:33:26,67.0
14,MMC8000GPSANDASYN051113-38165-00000000,2013-01-15 13:24:45,73.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-15 16:29:06,51.0
14,MMC8000GPSANDASYN051113-38195-00000000,2013-01-15 16:17:01,77.0
14,MMC8000GPSANDASYN051113-19549-00000000,2013-01-15 12:41:02,67.0
14,MMC8000GPSANDASYN051113-18772-00000000,2013-01-15 22:04:45,57.0
14,MMC8000GPSANDASYN051113-37948-00000000,2013-01-15 22:57:43,97.0
14,MMC8000GPSANDASYN051113-38245-00000000,2013-01-15 21:17:04,55.0
14,MMC8000GPSANDASYN051113-38069-00000000,2013-01-15 23:26:35,39.0
14,MMC8000GPSANDASYN051113-19057-00000000,2013-01-15 19:36:02,116.0
14,MMC8000GPSANDASYN051113-18709-00000000,2013-01-15 23:55:47,55.0
14,MMC8000GPSANDASYN051113-37931-00000000,2013-01-15 23:52:01,59.0
14,MMC8000GPSANDASYN051113-38271-00000000,2013-01-15 20:30:34,69.0
14,MMC8000GPSANDASYN051113-18143-00000000,2013-01-15 18:58:37,73.0
14,MMC8000GPSANDASYN051113-18996-00000000,2013-01-15 19:49:07,57.0
14,MMC8000GPSANDASYN051113-38115-00000000,2013-01-15 23:41:01,64.0
14,MMC8000GPSANDASYN051113-21080-00000000,2013-01-15 23:17:57,49.0
14,MMC8000GPSANDASYN051113-19278-00000000,2013-01-16 02:24:08,72.0
14,MMC8000GPSANDASYN051113-37573-00000000,2013-01-16 01:16:25,38.0
14,MMC8000GPSANDASYN051113-37841-00000000,2013-01-16 01:09:57,48.0
14,MMC8000GPSANDASYN051113-37953-00000000,2013-01-16 02:15:18,50.0
14,MMC8000GPSANDASYN051113-37948-00000000,2013-01-16 01:07:19,59.0
14,MMC8000GPSANDASYN051113-18129-00000000,2013-01-16 00:54:26,56.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-16 00:38:09,48.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-16 01:32:06,49.0
14,MMC8000GPSANDASYN051113-18694-00000000,2013-01-16 07:08:33,70.0
14,MMC8000GPSANDASYN051113-39684-00000000,2013-01-16 10:15:19,38.0
14,MMC8000GPSANDASYN051113-37673-00000000,2013-01-16 06:55:01,70.0
14,MMC8000GPSANDASYN051113-37605-00000000,2013-01-16 08:04:45,119.0
14,MMC8000GPSANDASYN051113-39656-00000000,2013-01-16 07:53:19,150.0
14,MMC8000GPSANDASYN051113-39685-00000000,2013-01-16 13:32:55,30.0
14,MMC8000GPSANDASYN051113-38029-00000000,2013-01-16 13:33:17,61.0
14,MMC8000GPSANDASYN051113-37736-00000000,2013-01-16 14:55:51,86.0
14,MMC8000GPSANDASYN051113-37711-00000000,2013-01-16 15:22:41,82.0
14,MMC8000GPSANDASYN051113-19368-00000000,2013-01-16 17:11:13,90.0
14,MMC8000GPSANDASYN051113-18729-00000000,2013-01-16 16:49:19,84.0
14,MMC8000GPSANDASYN051113-37916-00000000,2013-01-16 13:13:24,60.0
14,MMC8000GPSANDASYN051113-38200-00000000,2013-01-16 17:30:07,102.0
14,MMC8000GPSANDASYN051113-38104-00000000,2013-01-16 13:24:21,72.0
